Player,Season,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,WS,BPM,VORP
Joel Embiid,2021-22,C,PHI,68.0,68.0,33.8,9.8,19.6,0.499,1.4,3.7,0.371,9.6,11.8,0.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6,31.2,0.616,37.2,12.0,9.2,6.5
LeBron James,2021-22,C,LAL,56.0,56.0,37.2,11.4,21.8,0.524,2.9,8.0,0.359,4.5,6.0,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3,26.2,0.619,32.3,7.5,7.7,5.1
Giannis Antetokounmpo,2021-22,PF,MIL,67.0,67.0,32.9,10.3,18.6,0.553,1.1,3.6,0.293,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,32.1,0.633,34.9,12.9,11.2,7.4
Kevin Durant,2021-22,PF,BRK,55.0,55.0,37.2,10.5,20.3,0.518,2.1,5.5,0.383,6.8,7.4,0.91,0.5,6.9,7.4,6.4,0.9,0.9,3.5,2.1,29.9,25.6,0.634,31.2,8.4,7.2,4.8
Luka DonÄiÄ,2021-22,PG,DAL,65.0,65.0,35.4,9.9,21.6,0.457,3.1,8.8,0.353,5.6,7.5,0.744,0.9,8.3,9.1,8.7,1.2,0.6,4.5,2.2,28.4,25.1,0.571,37.4,7.6,8.2,5.9
Trae Young,2021-22,PG,ATL,76.0,76.0,34.9,9.4,20.3,0.46,3.1,8.0,0.382,6.6,7.3,0.904,0.7,3.1,3.7,9.7,0.9,0.1,4.0,1.7,28.4,25.4,0.603,34.4,10.0,5.2,4.8
DeMar DeRozan,2021-22,PF,CHI,76.0,76.0,36.1,10.2,20.2,0.504,0.7,1.9,0.352,6.8,7.8,0.877,0.7,4.4,5.2,4.9,0.9,0.3,2.4,2.3,27.9,23.1,0.59,31.8,8.8,2.5,3.1
Kyrie Irving,2021-22,PG,BRK,29.0,29.0,37.6,10.0,21.2,0.469,3.4,8.2,0.418,4.1,4.4,0.915,0.6,3.8,4.4,5.8,1.4,0.6,2.5,2.8,27.4,21.4,0.592,29.4,3.3,3.0,1.4
Ja Morant,2021-22,PG,MEM,57.0,57.0,33.1,10.2,20.6,0.493,1.5,4.5,0.344,5.5,7.3,0.761,1.4,4.4,5.7,6.7,1.2,0.4,3.4,1.5,27.4,24.4,0.575,33.7,6.7,6.1,3.9
Nikola JokiÄ,2021-22,C,DEN,74.0,74.0,33.5,10.3,17.7,0.583,1.3,3.9,0.337,5.1,6.3,0.81,2.8,11.0,13.8,7.9,1.5,0.9,3.8,2.6,27.1,32.8,0.661,31.9,15.2,13.7,9.8
Jayson Tatum,2021-22,SF,BOS,76.0,76.0,35.9,9.3,20.6,0.453,3.0,8.6,0.353,5.3,6.2,0.853,1.1,6.9,8.0,4.4,1.0,0.6,2.9,2.3,26.9,21.8,0.578,32.1,9.6,5.0,4.8
Devin Booker,2021-22,SG,PHO,68.0,68.0,34.5,9.7,20.9,0.466,2.7,7.0,0.383,4.6,5.3,0.868,0.7,4.4,5.0,4.8,1.1,0.4,2.4,2.6,26.8,21.3,0.576,32.0,7.6,4.1,3.6
Donovan Mitchell,2021-22,SG,UTA,67.0,67.0,33.8,9.2,20.5,0.448,3.5,9.8,0.355,4.0,4.7,0.853,0.8,3.4,4.2,5.3,1.5,0.2,3.0,2.4,25.9,21.6,0.572,32.9,7.2,4.3,3.6
Stephen Curry,2021-22,PG,GSW,64.0,64.0,34.5,8.4,19.1,0.437,4.5,11.7,0.38,4.3,4.7,0.923,0.5,4.7,5.2,6.3,1.3,0.4,3.2,2.0,25.5,21.4,0.601,30.8,8.0,5.8,4.4
Karl-Anthony Towns,2021-22,C,MIN,74.0,74.0,33.5,8.7,16.4,0.529,2.0,4.9,0.41,5.2,6.3,0.822,2.6,7.2,9.8,3.6,1.0,1.1,3.1,3.6,24.6,24.1,0.64,27.8,10.3,5.0,4.4
Shai Gilgeous-Alexander,2021-22,PG,OKC,56.0,56.0,34.7,8.5,18.8,0.453,1.6,5.3,0.3,5.9,7.2,0.81,0.7,4.3,5.0,5.9,1.3,0.8,2.8,2.5,24.5,20.9,0.557,30.8,4.6,3.4,2.7
